Job ID	NewLB	Summed CPLength	Summed TWork
456	557	185	3.8613999999999997
925	401	143	3.0801
3004	146	122	0.7775000000000001
3761	377	125	2.546641666666667
4014	362	122	2.4807
5207	370	132	2.2374
5368	1509	149	5.035516666666666
6433	362	122	2.7864000000000004
8226	332	112	2.2085708333333334
8291	317	105	2.030333333333333
9817	418	138	2.8342
10161	331	111	2.1776999999999997
10256	11130	11130	8.4509375
11089	421	141	2.7177000000000002
11115	522	184	3.7468
11130	362	122	2.3314416666666666
11582	360	120	2.5384
16098	363	123	2.4377916666666666
16338	370	132	2.3588000000000005
17745	390	130	2.5324999999999998
18462	331	111	2.15885
18541	522	262	2.7439
18647	499	167	3.7074999999999996
19617	420	140	2.9159999999999995
20646	1334	134	5.6648
21620	362	122	2.362
23866	359	119	2.1826666666666665
24063	0.07166666666666667	0	0.07166666666666667
24635	420	140	2.8589
26424	360	120	2.4473000000000003
29670	392	132	3.1042000000000005
31928	449	149	3.7603999999999997
33999	450	150	3.4691
36286	331	111	2.208475
36654	390	130	3.3261
37067	371	133	2.5748000000000006
38944	1381	469	7.539533333333333
39229	422	142	2.9841333333333333
39718	2955	2862	5.242083333333333
40795	3442	3380	5.639270833333333
41980	331	111	2.1662541666666666
42047	331	111	2.2518083333333334
42802	0.044375	0	0.044375
42909	360	120	2.6315999999999997
42990	12173	12153	6.2140625
43720	355	125	2.3067583333333332
43829	421	141	2.699
45713	1035	81	4.075287499999999
47808	349	117	2.1834708333333332
48201	386	126	2.6133999999999995
48305	382	131	2.4932
48981	39	22	0.2953125
49740	469	157	3.8352999999999997
50706	385	368	0.7277083333333334
54118	356	116	2.3148
54430	3620	384	60.311770833333334
59161	7365	5111	31.856041666666666
60035	1266	100	4.510316666666666
61937	75799	12927	2539.555625
62093	41	41	0.0265625
62398	512	181	2.6996999999999995
62912	402	170	2.286620833333333
64133	0.0033333333333333335	0	0.0033333333333333335
65918	361	121	2.4156708333333334
66612	7563	7535	6.258020833333333
66785	1202	124	4.405916666666667
73404	388	128	2.4944458333333333
75007	46236	6306	957.8197916666667
75696	270	142	3.4928125000000003
78850	26772	1654	32.300000000000004
79226	388	128	3.2361000000000004
80998	570	190	4.5614
81571	776	245	4.5617
81595	1111	482	6.1973
85151	480	160	3.4375999999999998
85388	379	127	2.4231000000000003
85496	463	141	0.6605375
85681	5327	528	85.34770833333334
86088	421	141	3.1411999999999995
87133	1073	745	8.551666666666666
88594	9893	2917	99.35572916666668
89634	82	53	0.4999
91736	3522	350	57.30864583333333
93170	420	140	2.7078999999999995
93912	362	122	2.304991666666667
95244	377	125	2.561179166666667
95889	452	152	2.9235999999999995
96216	0	0	0.0
97742	559	187	4.1093
98687	663	618	7.0339583333333335
100187	1255	137	4.239725
102770	19550	9400	843.5631249999999
103901	1343	145	5.871899999999999
104461	2998	2915	6.034791666666667
104575	95	79	0.7307291666666667
112021	12137	560	304.7508
113377	371	159	2.1683375000000003
113678	393	133	3.2249999999999996
114784	420	140	2.9871
118815	389	129	3.2819
120024	5503	5486	6.02125
120601	0.07739583333333333	0	0.07739583333333333
122822	401	143	2.8677
122871	1497	119	5.092083333333333
124669	0.0778125	0	0.0778125
125254	624	200	3.9919
125740	390	130	2.6833
127027	469	157	2.9867
127743	362	122	2.388275
128814	2648	187	64.287
129253	1423	143	4.737733333333334
130273	0.07864583333333333	0	0.07864583333333333
132423	362	362	0.43624999999999997
132906	662	326	4.3637
132910	452	152	3.5799
133458	776	252	6.0504
135137	5740	5621	5.982291666666666
135694	2701	214	10.1954
136980	392	132	2.9034
137780	4712	736	73.77322916666667
138134	1247	127	4.8199749999999995
142507	1239662	26961	19569.54302083333
144072	333	113	2.3402875
144478	435	143	2.2797083333333337
144966	452	204	2.566
145037	392	132	2.726
146486	1505	130	5.843925
147468	423	143	2.8897999999999997
148947	2903	2828	5.8440625
153032	3939	335	16.055575
153880	361	121	2.3036000000000008
158039	810	424	7.651354166666667
164075	577	211	4.3549
164594	360	120	2.4610000000000003
166999	34828	6256	1134.7676041666666
167232	2286	178	8.8182
167439	409	137	3.3252
170514	452	152	3.0322999999999993
171229	1321	449	18.172083333333333
173898	723	586	7.4669791666666665
174013	986	453	5.3573
176161	1672	1598	5.8507291666666665
180366	607	195	4.2899
182203	560	176	3.6421
185195	396	136	2.614925
187625	589	269	7.276770833333333
187627	330	110	2.3116
188164	106306.404375	51401	71243.01822916667
188694	363	123	2.5492
193553	0	0	0.0
193831	3142	3050	5.793749999999999
193977	392	132	2.4244666666666665
194196	3688	497	161.58135416666667
195433	2939	2844	5.3175
197984	346	114	2.100554166666667
199041	863	544	7.726458333333333
200365	531	179	3.0126041666666667
201926	42443.564479166664	108	42443.564479166664
202996	3887	3794	5.849895833333334
204272	0.026770833333333334	0	0.026770833333333334
205357	1176	500	7.980299999999999
205607	361	121	2.3617000000000004
205859	1477851	38582	41672.558333333334
206121	663	310	7.747604166666667
206866	575	183	4.0996999999999995
207099	362	122	2.4090041666666666
208109	412	141	2.7690000000000006
210316	420	140	2.9406999999999996
214082	361	121	2.586879166666667
214146	383	132	2.5789666666666666
214768	2354	170	58.50019999999999
215646	424	407	0.8108333333333333
218994	1795	349	39.904583333333335
219890	0.06427083333333333	0	0.06427083333333333
221112	704	152	10.606000000000002
226142	40615	5164	1036.6879166666668
226992	383	132	2.3487999999999998
229282	340	122	2.1684916666666667
229661	2728	521	55.023125
230050	5042	559	163.825
231149	629	320	3.3635999999999995
231214	421	141	3.5362
232412	362	122	2.547775
234966	1491	151	5.669808333333332
235700	1505	505	12.4677
236180	567	202	4.0576
236687	361	121	2.8342958333333335
238384	1268	102	4.654120833333334
241122	380	144	2.272
241462	364	124	2.4856000000000007
241501	482	188	3.5952
241716	397	149	2.3781000000000003
241802	612	205	5.331700000000001
243341	372	134	2.7811000000000003
243980	9034	9034	6.2309375
244081	427	149	2.8994999999999997
244405	481	161	3.7553
246044	62729	695	1320.0022916666667
247015	495	281	2.4837999999999996
247083	52	52	0.10458333333333333
247273	228	228	0.0265625
247854	377	125	2.4482875
248106	331	111	2.1071999999999997
